"","Symbol","Trade Time","Name","Ask","Market Capitalization","Earnings/Share","P/E Ratio","Price/Book","Shares Outstanding","Currency","date","cash","netReceivables","totalCurrentAssets","longTermInvestments","propertyPlantEquipment","goodWill","intangibleAssets","otherAssets","deferredLongTermAssetCharges","totalAssets","otherCurrentLiab","otherLiab","minorityInterest","totalCurrentLiabilities","totalLiab","commonStock","retainedEarnings","treasuryStock","capitalSurplus","otherStockholderEquity","totalStockholderEquity","netTangibleAssets","otherCurrentAssets","accountsPayable","deferredLongTermLiab","shortLongTermDebt","shortTermInvestments","inventory","longTermDebt","(ticker)"
"72","ADTH",2022-03-04 16:00:02,"AdTheorent Holding Company, Inc",7.35,620786560,0.31,23.354837,4.5649433,85744000,"USD","2021-09-30",22640000,38932000,63715000,NA,362000,35778000,18200000,90000,NA,118145000,1059000,4592000,-1171000,43262000,50329000,43333000,22997000,NA,2657000,NA,68987000,15009000,836000,8260000,NA,24331000,NA,NA,2475000,"ADTH"
"73","ADTN",2022-03-04 16:00:04,"ADTRAN, Inc.",25,973364480,-0.18,NA,2.7081616,49117700,"USD","2021-12-31",56603000,169970000,376325000,43715000,60688000,6968000,19293000,62028000,9079000,569017000,29697000,53287000,NA,155359000,211915000,797000,740820000,-673461000,288946000,-11914000,357102000,330841000,915000,102489000,1e+05,NA,350000,139891000,NA,"ADTN"
"74","ADTX",2022-03-04 16:00:04,"Aditxt, Inc.",0.368,15910401,-1.857,NA,0.672119,4.4e+07,"USD","2021-09-30",5469435,6500000,12385507,NA,6222427,NA,240970,737763,NA,19586667,180940,NA,NA,3600828,6614336,24198,-43300277,-201605,56450015,NA,12972331,12731361,NA,1655976,NA,NA,NA,NA,246723,"ADTX"
"75","ADUS",2022-03-04 16:00:04,"Addus HomeCare Corporation",81.79,1304395008,2.81,29.099644,2.2466137,15952000,"USD","2021-12-31",168895000,144511000,324341000,NA,54531000,504392000,64321000,NA,NA,947585000,10658000,1781000,NA,117689000,373241000,16000,194291000,NA,380037000,NA,574344000,5631000,7254000,19358000,NA,NA,NA,NA,220912000,"ADUS"
"76","ADV",2022-03-04 16:00:04,"Advantage Solutions Inc.",5.75,1829172736,0.17,33.82353,0.7338864,318116992,"USD","2021-12-31",164622000,808392000,1104314000,135322000,111183000,2206004000,2287514000,9931000,NA,5854268000,135957000,557128000,98977000,645520000,3271974000,32000,-866607000,-23386000,3373278000,-10819000,2483317000,-2010201000,19431000,277366000,NA,14797000,NA,70704000,2028882000,"ADV"
"77","ADVM",2022-03-04 16:00:02,"Adverum Biotechnologies, Inc.",1.28,126521488,-1.52,NA,0.34893617,98152096,"USD","2021-09-30",32971000,7358000,347827000,NA,137332000,NA,NA,5422000,NA,490581000,3575000,1114000,NA,25326000,144581000,10000,-613667000,-523000,960180000,-523000,3.46e+08,3.46e+08,NA,2517000,NA,NA,299734000,NA,NA,"ADVM"
"78","ADXN",2022-03-04 16:00:03,"Addex Therapeutics Ltd",5.46,32996978,-2.652,NA,2.046036,6316750,"USD","2021-09-30",15486114,582467,17436065,NA,566011,NA,NA,57995,NA,18060071,NA,1217605,NA,3271264,4719103,49272952,-324633843,422931,288278928,15898186,13340968,13340968,27963,1157170,NA,NA,NA,NA,NA,"ADXN"
"79","AEAC",2022-03-03 16:00:03,"Authentic Equity Acquisition Co",9.99,293100000,NA,NA,-14.5386915,2.3e+07,"USD","2021-09-30",660076,NA,968340,NA,NA,NA,NA,230050644,NA,231018984,NA,250358000,NA,814637,251172637,700,-20154353,NA,NA,NA,-20153653,-20153653,NA,186132,NA,NA,NA,NA,NA,"AEAC"
"80","AEAE",2022-03-03 13:17:13,"AltEnergy Acquisition Corp.",9.96,NA,NA,NA,-495,NA,"USD","2021-09-30",48349,NA,48349,NA,NA,NA,NA,405253,NA,453602,304757,NA,NA,554757,554757,575,-126155,NA,24425,NA,-101155,-101155,NA,NA,405253,NA,NA,NA,NA,"AEAE"
"81","AEHA",2022-03-03 09:30:02,"Aesther Healthcare Acquisition ",10.06,133043504,NA,NA,-72.37411,10600000,"USD","2021-09-30",1162203,NA,1833087,NA,NA,NA,NA,107104159,NA,108937246,NA,110250000,NA,9865,110259865,298,-42627,-1280290,NA,-1280290,-1322619,-1322619,NA,4865,3986,NA,NA,NA,NA,"AEHA"
"82","AEHL",2022-03-04 16:00:03,"Antelope Enterprise Holdings Li",1.18,6468550,-6.43,NA,0.09492294,5934450,"USD","2021-06-30",34029000,66562000,127955000,NA,51504000,NA,NA,NA,NA,179459000,20171000,NA,NA,80812000,111601000,937000,-429494000,-261424000,757839000,-261424000,67858000,67858000,NA,5494000,NA,NA,NA,27364000,NA,"AEHL"
"83","AEHR",2022-03-04 16:00:04,"Aehr Test Systems",12.8,332186592,0.043,275.34885,7.77413,26841800,"USD","2021-11-30",35031000,7391000,56077000,NA,1926000,NA,NA,182000,NA,58185000,10557000,162000,NA,16545000,17323000,268000,-74900000,-108000,115602000,-108000,40862000,40862000,NA,3386000,NA,NA,NA,13033000,NA,"AEHR"
"84","AEI",2022-03-04 16:00:04,"Alset EHome International Inc.",0.3199,32081192,-4.403,NA,0.10360507,100568000,"USD","2021-09-30",67944590,2019910,147567414,NA,872944,NA,NA,26695783,NA,175136141,1881411,1,25139975,8931425,9228924,45722,-124909747,-1002213,266633480,-1002213,140767242,140767242,4996543,1137997,NA,5508665,70827974,45250,NA,"AEI"
"85","AEIS",2022-03-04 16:00:02,"Advanced Energy Industries, Inc",82.44,3101338112,3.512,23.442482,3.5614483,37669600,"USD","2021-12-31",544372000,247995000,1162234000,NA,216599000,NA,371596000,66911000,47242000,1817340000,NA,202894000,645000,370217000,945844000,870851000,NA,NA,NA,NA,870851000,499255000,29161000,193708000,NA,2e+07,2296000,338410000,372733000,"AEIS"
"86","AEMD",2022-03-04 16:00:03,"Aethlon Medical, Inc.",1.25,18489840,-0.611,NA,0.89352196,15408200,"USD","2021-12-31",20394536,131966,21210224,NA,582893,NA,2338,120811,NA,21916266,229698,NA,-141088,1069692,1356913,15410,-126544103,NA,147229134,NA,20700441,20698103,NA,234118,NA,NA,NA,NA,NA,"AEMD"
"87","AEP",2022-03-04 16:00:03,"American Electric Power Company",96.33,48570744832,4.96,19.421371,2.1651084,504212000,"USD","2021-12-31",403400000,2063100000,7809200000,1447500000,66579600000,52500000,NA,11779900000,NA,87668700000,4918600000,20572200000,2.47e+08,12426700000,64988500000,3408700000,11667100000,184800000,7172600000,184800000,22433200000,22380700000,4003300000,2054600000,5.793e+09,2153800000,220400000,989200000,31300700000,"AEP"
"88","AERC",2022-03-04 16:00:04,"AeroClean Technologies, Inc.",4.2,53845088,-0.582,NA,22.298851,13877600,"USD","2021-09-30",655780,201801,1239858,NA,2284418,NA,NA,961408,NA,4485684,NA,NA,NA,2142547,2142547,16748768,-14405631,NA,NA,NA,2343137,2343137,NA,769739,939741,NA,NA,247041,NA,"AERC"
"89","AERI",2022-03-04 16:00:04,"Aerie Pharmaceuticals, Inc.",8.29,385199520,-1.614,NA,-22.234636,48391900,"USD","2021-12-31",37187000,158828000,355650000,NA,74141000,NA,NA,1600000,NA,431391000,NA,67455000,NA,124991000,448724000,48000,-1153911000,-126000,1136656000,-126000,-17333000,-17333000,NA,8285000,NA,NA,102614000,40410000,234527000,"AERI"
"90","AERI",2022-03-04 16:00:04,"Aerie Pharmaceuticals, Inc.",8.29,385199520,-1.614,NA,-22.234636,48391900,"USD","2021-12-31",37187000,158828000,355650000,NA,74141000,NA,NA,1600000,NA,431391000,85381000,67455000,NA,124991000,448724000,48000,-1153911000,-126000,1136656000,-126000,-17333000,-17333000,NA,8285000,NA,NA,102614000,40410000,234527000,"AERI"
"91","AESE",2022-03-04 16:00:03,"Allied Esports Entertainment, I",1.8,70064000,1.291,1.386522,0.6762372,39141900,"USD","2021-09-30",95221785,338118,101571333,NA,6873533,NA,29820,625000,NA,109099686,573922,1961640,NA,3516394,5478034,3915,-94251576,226855,197642458,226855,103621652,103591832,5e+06,342185,NA,NA,NA,NA,NA,"AESE"
"92","AEY",2022-03-04 16:00:03,"ADDvantage Technologies Group, ",1.89,16286375,-0.525,NA,1.7507004,13029100,"USD","2021-12-31",1837000,8688000,18130000,NA,6083000,58000,1027000,128000,NA,25426000,913000,NA,NA,12788000,16111000,130000,8850000,NA,335000,NA,9315000,8230000,581000,6812000,NA,NA,NA,5653000,NA,"AEY"
"93","AEYE",2022-03-04 16:00:02,"AudioEye, Inc.",5.38,59042876,-1.148,NA,2.8745162,11354400,"USD","2021-09-30",21953000,3798000,26465000,NA,625000,701000,2524000,49000,NA,30364000,6075000,20000,NA,9514000,9831000,1000,-66290000,NA,86822000,NA,20533000,17308000,120000,3131000,49000,NA,NA,NA,NA,"AEYE"
"94","AEZS",2022-03-04 16:00:03,"Aeterna Zentaris Inc.",0.3448,43214356,-0.068,NA,0.6983806,121397000,"USD","2021-09-30",68002000,910000,72400000,NA,225000,8326000,642000,449000,NA,82042000,2529000,17274000,NA,4777000,22116000,293347000,-327708000,94287000,NA,94287000,59926000,50958000,2998000,672000,NA,NA,NA,57000,NA,"AEZS"
"95","AFAC",2022-03-03 15:16:28,"Arena Fortify Acquisition Corp.",9.97,214546864,NA,NA,1658.3333,17250000,"USD","2021-09-30",NA,NA,25000,NA,NA,NA,NA,829520,NA,854520,663571,NA,NA,831273,831273,575,-1753,NA,24425,NA,23247,23247,NA,NA,829520,NA,NA,NA,NA,"AFAC"
"96","AFAQ",2022-03-04 14:42:33,"AF Acquisition Corp.",9.74,272442784,NA,NA,-20.271042,22400000,"USD","2021-09-30",923773,NA,1144768,NA,NA,NA,NA,224115115,NA,225259883,NA,238533867,NA,152044,238685911,560,-13426588,NA,NA,NA,-13426028,-13426028,NA,6033,NA,NA,NA,NA,NA,"AFAQ"
"97","AFBI",2022-03-04 16:00:02,"Affinity Bancshares, Inc.",16.31,105907224,1.09,14.137614,0.87551844,6872630,"USD","2021-12-31",111776000,NA,123321000,51033000,3783000,NA,18749000,591202000,NA,788088000,NA,NA,NA,618132000,667120000,69000,58223000,-5362000,68038000,-5362000,120968000,102219000,8007000,614799000,NA,NA,NA,3538000,48988000,"AFBI"
"98","AFCG",2022-03-04 16:00:03,"AFC Gamma, Inc.",21,385022048,1.818,10.731573,1.1690335,19734600,"USD","2021-09-30",69974391,233519150,303884776,NA,NA,NA,NA,NA,NA,303884776,7762675,NA,NA,29477832,29477832,163866,94754,NA,274148323,NA,274406943,274406943,391235,520591,NA,NA,NA,NA,NA,"AFCG"
"99","AFIB",2022-03-04 16:00:02,"Acutus Medical, Inc.",1.63,45283700,-4.039,NA,0.33869955,27952900,"USD","2021-09-30",58492000,4890000,155801000,4061000,19277000,12026000,5173000,1086000,NA,197424000,2279000,818000,NA,18181000,63737000,28000,-447434000,-40000,581133000,-40000,133687000,116488000,150000,6417000,NA,NA,71962000,14962000,40043000,"AFIB"
"100","AFMD",2022-03-04 16:00:04,"Affimed N.V.",4.12,517704032,-0.49,NA,3.6615937,119797000,"USD","2021-09-30",198742000,3159000,203271000,11204000,4226000,NA,1634000,NA,NA,220335000,51815000,9800000,NA,66291000,86478000,1198000,-310309000,442968000,NA,442968000,133857000,132223000,78000,13716000,NA,94000,NA,692000,10073000,"AFMD"
"101","AFRM",2022-03-04 16:00:04,"Affirm Holdings, Inc.",35.95,10189249536,-3.317,NA,4.1096835,223766000,"USD","2021-12-31",2567401000,152045000,3055413000,2772781000,169416000,541399000,66190000,347250000,NA,6952449000,NA,310320000,NA,110881000,4484127000,3000,-1364835000,4376000,3828778000,4376000,2468322000,1860733000,274796000,45589000,NA,NA,NA,NA,3999384000,"AFRM"
"102","AFYA",2022-03-04 16:00:03,"Afya Limited",15.95,1102750336,0.483,24.57557,0.36719668,47099600,"USD","2021-09-30",1038934000,360697000,1433609000,54266000,1031195000,1120168000,2634843000,212739000,NA,6486820000,366732000,698631000,50822000,659487000,3432792000,17000,586348000,40142000,2376699000,84673000,3003206000,-751805000,24885000,47020000,NA,28074000,NA,9093000,1422948000,"AFYA"
"103","AGBA",2022-03-04 11:47:45,"AGBA Acquisition Limited",11.17,55890520,-0.214,NA,-25.645163,5021610,"USD","2021-09-30",356075,NA,356075,NA,NA,NA,NA,43355977,NA,43712052,NA,41951100,NA,4079710,46030810,1375,-2320133,NA,NA,NA,-2318758,-2318758,NA,NA,NA,NA,NA,NA,NA,"AGBA"
"104","AGEN",2022-03-04 16:00:03,"Agenus Inc.",2.92,775354944,-0.105,NA,21.716417,256898000,"USD","2021-12-31",291931000,1518000,331974000,NA,91083000,24876000,8488000,9537000,NA,465958000,80676000,205856000,13469000,156943000,418049000,2569000,-1489833000,1492000,1520212000,1492000,34440000,1076000,3171000,30486000,NA,728000,14992000,NA,12823000,"AGEN"
"105","AGFS",2022-03-04 16:00:03,"AgroFresh Solutions, Inc.",1.99,101165576,-0.695,NA,0.42213473,52417400,"USD","2021-09-30",43322000,78371000,147376000,NA,18007000,6569000,557386000,13467000,8523000,742805000,9519000,40151000,8005000,49110000,348485000,5000,-252188000,-44122000,535612000,-40237000,239307000,-324648000,NA,14255000,NA,3326000,NA,21334000,254596000,"AGFS"
"106","AGFY",2022-03-04 16:00:03,"Agrify Corporation",5.64,134153392,-2.233,NA,0.85655475,24797300,"USD","2021-09-30",44746000,12568000,132865000,6253000,4933000,632000,1463000,13152000,NA,159298000,11584000,NA,378000,23006000,24623000,20000,-45714000,NA,179991000,NA,134297000,132202000,NA,8742000,60000,NA,62261000,11658000,833000,"AGFY"
"107","AGGR",2022-03-04 11:23:38,"Agile Growth Corp.",9.73,376650016,NA,NA,-18.837212,3.1e+07,"USD","2021-09-30",1022221,NA,1707502,NA,NA,NA,NA,310010115,NA,311717617,NA,331266000,NA,437346,331703346,775,-19986504,NA,NA,NA,-19985729,-19985729,NA,42923,NA,NA,NA,NA,NA,"AGGR"
"108","AGIL",2022-03-04 16:00:03,"AgileThought, Inc.",6.13,256429008,-16.298,NA,2.788409,50280200,"USD","2021-09-30",3946000,50818000,63260000,NA,9935000,70431000,84077000,1564000,NA,229267000,10753000,13410000,-152000,96427000,152943000,4000,-80234000,-17109000,173815000,-17109000,76476000,-78032000,180000,20812000,NA,36588000,NA,NA,40296000,"AGIL"
"109","AGIO",2022-03-04 16:00:04,"Agios Pharmaceuticals, Inc.",40.43,1722720384,26.547,1.1877048,1.3260157,54637500,"USD","2021-12-31",203126000,4378000,1064231000,266375000,104230000,NA,NA,2900000,NA,1437736000,NA,NA,NA,59826000,145761000,71000,-238760000,-803684000,2334348000,-1198000,1291975000,1291975000,NA,16700000,NA,NA,816892000,NA,NA,"AGIO"
"110","AGLE",2022-03-04 16:00:02,"Aeglea BioTherapeutics, Inc.",2.27,110970000,-1.039,NA,1.0869565,49320000,"USD","2021-09-30",24665000,NA,117514000,NA,8813000,NA,NA,2734000,NA,129061000,5751000,1806000,NA,20428000,26980000,5000,-321363000,2000,423437000,2000,102081000,102081000,NA,1863000,NA,NA,87763000,NA,NA,"AGLE"
"111","AGMH",2022-03-04 16:00:02,"AGM Group Holdings Inc.",1.53,36867296,-0.019,NA,9.806452,24254800,"USD","2021-09-30",1403534,1541925,27054925,NA,77576,NA,9003,NA,NA,27141504,17560514,NA,NA,23824326,23841343,28456,-5253631,157070,8368266,157070,3300161,3291158,19985224,1625,NA,NA,NA,4073711,NA,"AGMH"
"112","AGNC",2022-03-04 16:00:04,"AGNC Investment Corp.",13.1,6820245504,1.22,10.704918,0.7748443,522224000,"USD","2021-12-31",9.98e+08,NA,1.2317e+10,6.002e+09,NA,5.26e+08,NA,4.9304e+10,NA,6.8149e+10,9.785e+09,NA,NA,5.7732e+10,5.7858e+10,5e+06,-5.214e+09,3.01e+08,1.371e+10,3.01e+08,8.802e+09,8.276e+09,5.27e+08,4.8e+08,NA,4.6911e+10,1.0475e+10,NA,1.26e+08,"AGNC"
"113","AGNCM",2022-03-04 15:48:29,"AGNC Investment Corp. - Deposit",24.85,8631418880,1.22,19.90164,1.4405222,477832000,"USD","2021-12-31",9.98e+08,NA,1.2317e+10,6.002e+09,NA,5.26e+08,NA,4.9304e+10,NA,6.8149e+10,9.785e+09,NA,NA,5.7732e+10,5.7858e+10,5e+06,-5.214e+09,3.01e+08,1.371e+10,3.01e+08,8.802e+09,8.276e+09,5.27e+08,4.8e+08,NA,4.6911e+10,1.0475e+10,NA,1.26e+08,"AGNCM"
"114","AGNCN",2022-03-04 16:00:03,"AGNC Investment Corp. - Deposit",24.79,8380204544,1.22,20,1.4476416,477832000,"USD","2021-12-31",9.98e+08,NA,1.2317e+10,6.002e+09,NA,5.26e+08,NA,4.9304e+10,NA,6.8149e+10,9.785e+09,NA,NA,5.7732e+10,5.7858e+10,5e+06,-5.214e+09,3.01e+08,1.371e+10,3.01e+08,8.802e+09,8.276e+09,5.27e+08,4.8e+08,NA,4.6911e+10,1.0475e+10,NA,1.26e+08,"AGNCN"
"115","AGNCO",2022-03-04 16:00:02,"AGNC Investment Corp. - Deposit",24.58,NA,1.22,19.991802,1.4470483,NA,"USD","2021-12-31",9.98e+08,NA,1.2317e+10,6.002e+09,NA,5.26e+08,NA,4.9304e+10,NA,6.8149e+10,9.785e+09,NA,NA,5.7732e+10,5.7858e+10,5e+06,-5.214e+09,3.01e+08,1.371e+10,3.01e+08,8.802e+09,8.276e+09,5.27e+08,4.8e+08,NA,4.6911e+10,1.0475e+10,NA,1.26e+08,"AGNCO"
"116","AGNCP",2022-03-04 16:00:03,"AGNC Investment Corp. - Deposit",23.84,NA,1.22,19.491804,1.4108574,NA,"USD","2021-12-31",9.98e+08,NA,1.2317e+10,6.002e+09,NA,5.26e+08,NA,4.9304e+10,NA,6.8149e+10,9.785e+09,NA,NA,5.7732e+10,5.7858e+10,5e+06,-5.214e+09,3.01e+08,1.371e+10,3.01e+08,8.802e+09,8.276e+09,5.27e+08,4.8e+08,NA,4.6911e+10,1.0475e+10,NA,1.26e+08,"AGNCP"
"117","AGRI",2022-03-04 16:00:03,"AgriFORCE  Growing Systems Ltd.",1.86,26953640,-0.598,NA,2.6401181,15057900,"USD","2021-09-30",9834516,31547,10345933,NA,2108129,NA,1469933,NA,NA,13923995,819421,1842895,NA,1830469,3720456,25462183,-17173083,831,1913608,831,10203539,8733606,170397,197187,NA,NA,170000,NA,47092,"AGRI"
"118","AGRX",2022-03-04 16:00:03,"Agile Therapeutics, Inc.",0.289,33990880,-0.774,NA,2.4778762,121396000,"USD","2021-09-30",14735000,1309000,21762000,NA,12948000,NA,NA,1972000,NA,36682000,NA,NA,NA,9568000,26002000,9000,-363760000,NA,374431000,NA,10680000,10680000,1072000,5632000,NA,NA,NA,3460000,16434000,"AGRX"
"119","AGTC",2022-03-04 16:00:03,"Applied Genetic Technologies Co",1.73,73824640,-1.543,NA,1.4333333,42921300,"USD","2021-12-31",72771000,NA,75368000,7937000,7594000,NA,1345000,126000,NA,92370000,449000,95000,NA,24114000,40880000,43000,-275532000,-256000,327235000,NA,51490000,50145000,NA,1674000,NA,6714000,NA,NA,13538000,"AGTC"
"120","AGYS",2022-03-04 16:00:03,"Agilysys, Inc.",45.4,1009332032,-0.902,NA,10.8185425,24714300,"USD","2021-12-31",115122000,26585000,149614000,NA,16469000,19622000,8400000,8233000,2281000,202338000,45182000,4584000,NA,64151000,74925000,9482000,38495000,-2e+06,46436000,68000,92413000,64391000,NA,8035000,3100000,NA,NA,3256000,NA,"AGYS"
"121","AHCO",2022-03-04 16:00:04,"AdaptHealth Corp.",25.4,2022025984,0.67,22.537313,0.9678867,133909000,"USD","2021-12-31",149627000,359896000,670058000,NA,546337000,3512567000,202231000,319291000,304193000,5250484000,74564000,380251000,NA,499812000,3183795000,2066689000,NA,NA,NA,NA,2066689000,-1648109000,NA,358384000,NA,2e+07,NA,123095000,2183552000,"AHCO"
"122","AHG",2022-03-04 16:00:03,"Akso Health Group",1.46,100070040,-1.216,NA,1.6374269,48850600,"USD","2021-09-30",15456825,6561518,22310353,NA,68813,NA,NA,10145281,NA,32524447,27247,NA,NA,12972242,12972242,6976,-45172726,-6303943,71021898,-2315573,19552205,19552205,292010,NA,NA,NA,NA,NA,NA,"AHG"
"123","AHI",2022-03-04 16:00:03,"Advanced Human Imaging Limited.",0.95,26980540,-0.854,NA,1.6803571,23821300,"USD","2021-12-31",12285682,1051788,15317038,NA,189022,NA,1094323,37500,NA,16637883,NA,NA,NA,3613394,3613394,59315804,-57000951,10709636,NA,10709636,13024489,11930166,NA,795333,NA,NA,NA,NA,NA,"AHI"
"124","AHPA",2022-03-03 16:00:03,"Avista Public Acquisition Corp.",10.03,287500000,NA,NA,-41.666668,2.3e+07,"USD","2021-09-30",362203,NA,1242315,NA,NA,NA,NA,235750000,NA,236992315,42677,243800000,NA,95969,243895969,575,-6904229,NA,NA,NA,-6903654,-6903654,NA,33292,NA,NA,NA,NA,NA,"AHPA"
"125","AHPI",2022-03-04 16:00:02,"Allied Healthcare Products, Inc",3,11398453,-0.251,NA,1.3498098,4013540,"USD","2021-12-31",183043,2409180,11827990,NA,3510705,NA,NA,577088,577088,15915783,944734,24000,NA,7443295,7472990,52139,-19145195,-20980788,48516637,NA,8442793,8442793,472061,1356556,NA,NA,NA,8763706,NA,"AHPI"
"126","AHRN",2022-03-04 15:33:22,"Ahren Acquisition Corp.",9.87,370123008,NA,NA,9869.999,29999800,"USD","2021-06-30",NA,NA,NA,NA,NA,NA,NA,781554,NA,781554,616909,NA,NA,774540,774540,719,-17986,NA,24281,NA,7014,7014,NA,NA,781554,NA,NA,NA,NA,"AHRN"
"127","AIB",2022-03-04 16:00:00,"AIB Acquisition Corporation",9.88,111002952,NA,NA,896.8182,9095980,"USD","2021-09-30",120522,NA,130522,NA,NA,NA,NA,212378,NA,342900,47050,NA,NA,323199,323199,215,-5299,NA,24785,NA,19701,19701,NA,3649,212378,NA,NA,NA,NA,"AIB"
"128","AIH",2022-03-04 16:00:02,"Aesthetic Medical International",3.03,75240352,-2.566,NA,0.47996196,23597900,"USD","2021-06-30",47247000,72542000,156097000,9154000,394545000,NA,60792000,52624000,14792000,673212000,23437000,11316000,-45302000,323983000,572244000,469000,-743122000,888923000,NA,890946000,146270000,85478000,811000,37350000,NA,150340000,NA,35497000,80204000,"AIH"
"129","AIHS",2022-03-04 15:59:33,"Senmiao Technology Limited",0.29,15445950,-0.164,NA,8.064516,61783800,"USD","2021-12-31",2801711,1150893,8001406,NA,9459527,NA,939193,187438,NA,18587564,5519471,46386,-3889787,17876301,19736081,6178,-39738151,-778437,42430881,-778437,1920471,981278,3837748,124052,NA,500363,NA,211054,27982,"AIHS"
"130","AIKI",2022-03-04 16:00:04,"AIkido Pharma Inc.",0.4,35424036,-0.073,NA,0.34347826,89681104,"USD","2021-09-30",5948000,NA,97811000,5066000,NA,NA,NA,2107000,NA,104984000,NA,NA,NA,1809000,1809000,9000,-161964000,-264000,265394000,NA,103175000,103175000,NA,1572000,NA,NA,91219000,NA,NA,"AIKI"
"131","AIMC",2022-03-04 16:00:02,"Altra Industrial Motion Corp.",41.15,2671326720,0.42,97.76191,1.3424004,65059100,"USD","2021-12-31",246100000,236200000,1167800000,NA,325800000,1.564e+09,1057200000,15800000,2300000,4130600000,5.9e+07,290400000,NA,416500000,2145500000,1985100000,NA,NA,NA,NA,1985100000,-636100000,377300000,173300000,NA,11100000,NA,267800000,1.401e+09,"AIMC"
"132","AINV",2022-03-04 16:00:02,"Apollo Investment Corporation -",13.37,850963072,1.857,7.1997848,0.8315711,63647200,"USD","2021-12-31",34467000,17787000,53186000,2594843000,NA,NA,NA,18187000,NA,2666216000,22999000,7218000,NA,47346000,1641940000,63000,-1055317000,NA,2079530000,NA,1024276000,1024276000,NA,NA,18187000,NA,NA,NA,1587376000,"AINV"
"133","AIP",2022-03-04 16:00:03,"Arteris, Inc.",19.25,422566272,-1.064,NA,8.057211,31254900,"USD","2021-12-31",85825000,13873000,106647000,NA,5203000,2677000,2959000,2957000,NA,120443000,28403000,22930000,NA,42492000,67539000,31000,-38991000,-81000,91945000,-81000,52904000,47268000,NA,1722000,NA,833000,NA,NA,266000,"AIP"
